TL: training loss, VL: validation loss
THD: training hausdorf distance, VHD: validation hausdorf distance
TDD: training dice distance, VDD: validation dice distance
Epoch: 40, TL: 0.01423, VL: 0.01385 THD: 0.24934, VHD: 0.25731 TDD: 0.00023, VDD: 0.00024, Time: 0:00:38.662046
Epoch: 41, TL: 0.01339, VL: 0.01294 THD: 0.23414, VHD: 0.23815 TDD: 0.00023, VDD: 0.00024, Time: 0:00:38.713802
Epoch: 42, TL: 0.01262, VL: 0.01227 THD: 0.21975, VHD: 0.22521 TDD: 0.00024, VDD: 0.00024, Time: 0:00:38.756072
Epoch: 43, TL: 0.01190, VL: 0.01152 THD: 0.20647, VHD: 0.20966 TDD: 0.00024, VDD: 0.00024, Time: 0:00:38.728799
Epoch: 44, TL: 0.01123, VL: 0.01088 THD: 0.19458, VHD: 0.19636 TDD: 0.00024, VDD: 0.00024, Time: 0:00:38.638246
Epoch: 45, TL: 0.01062, VL: 0.01026 THD: 0.18317, VHD: 0.18010 TDD: 0.00024, VDD: 0.00024, Time: 0:00:38.501714
Epoch: 46, TL: 0.01004, VL: 0.00969 THD: 0.17297, VHD: 0.16810 TDD: 0.00024, VDD: 0.00025, Time: 0:00:38.394481
Epoch: 47, TL: 0.00951, VL: 0.00919 THD: 0.16319, VHD: 0.15857 TDD: 0.00025, VDD: 0.00025, Time: 0:00:38.630041
Epoch: 48, TL: 0.00901, VL: 0.00870 THD: 0.15314, VHD: 0.15045 TDD: 0.00025, VDD: 0.00025, Time: 0:00:38.695668
Epoch: 49, TL: 0.00854, VL: 0.00826 THD: 0.14438, VHD: 0.14164 TDD: 0.00025, VDD: 0.00026, Time: 0:00:38.571103
Epoch: 50, TL: 0.00811, VL: 0.00786 THD: 0.13627, VHD: 0.13476 TDD: 0.00025, VDD: 0.00025, Time: 0:00:38.665780
Epoch: 51, TL: 0.00770, VL: 0.00746 THD: 0.12877, VHD: 0.12866 TDD: 0.00026, VDD: 0.00026, Time: 0:00:38.661765
Epoch: 52, TL: 0.00732, VL: 0.00710 THD: 0.12153, VHD: 0.12088 TDD: 0.00026, VDD: 0.00026, Time: 0:00:38.599803
Epoch: 53, TL: 0.00697, VL: 0.00676 THD: 0.11477, VHD: 0.11475 TDD: 0.00026, VDD: 0.00026, Time: 0:00:38.644112
Epoch: 54, TL: 0.00664, VL: 0.00645 THD: 0.10853, VHD: 0.10947 TDD: 0.00027, VDD: 0.00026, Time: 0:00:38.621516
Epoch: 55, TL: 0.00633, VL: 0.00613 THD: 0.10270, VHD: 0.10271 TDD: 0.00027, VDD: 0.00027, Time: 0:00:38.646581
Epoch: 56, TL: 0.00603, VL: 0.00588 THD: 0.09732, VHD: 0.09807 TDD: 0.00027, VDD: 0.00027, Time: 0:00:38.657012
Epoch: 57, TL: 0.00576, VL: 0.00558 THD: 0.09213, VHD: 0.09167 TDD: 0.00028, VDD: 0.00027, Time: 0:00:38.630634
Epoch: 58, TL: 0.00550, VL: 0.00537 THD: 0.08731, VHD: 0.08886 TDD: 0.00028, VDD: 0.00027, Time: 0:00:38.636980
